tpacodigo;tpadescricao
1;AFEGANISTAO
2;AFRICA DO SUL
3;ALBANIA
4;ALEMANHA
6;ALTO VOLTA
7;ANDORRA
8;ANGOLA
9;ARABIA SAUDITA
10;ARGELIA
11;ARGENTINA
12;AUSTRALIA
13;AUSTRIA
14;BAHAMAS
15;BAREIN
16;BANGLADESH
17;BARBADOS
18;BELGICA
19;BIRMANIA
20;BOLIVIA
21;BOTSUANA
22;BRASIL
23;BULGARIA
24;BURUNDI
25;BUTAO
26;CABO VERDE
27;CAMAROES
28;CAMBOJA
29;CANADA
30;CHADE
31;CHILE
32;REPUBLICA POPULAR DA CHINA
33;CHIPRE
34;CINGAPURA
35;COLOMBIA
36;CONGO
37;COREIA DO NORTE
38;COREIA DO SUL
39;COSTA DO MARFIM
40;COSTA RICA
41;CUBA
42;DINAMARCA
43;DJIBOUTI
44;EGITO
45;EL SALVADOR
46;EQUADOR
47;ESPANHA
48;ESTADOS UNIDOS DA AMERICA
49;ETIOPIA
50;ILHAS FIJI
51;FILIPINAS
52;FINLANDIA
53;FRANCA
54;GABAO
55;GAMBIA
56;GANA
57;GRANADA
58;GRECIA
59;GUATEMALA
60;GUIANA
61;GUINE
62;GUINE-BISSAU
63;GUINE-EQUATORIAL
64;HAITI
65;HOLANDA
66;HONDURAS
67;HUNGRIA
68;IEMEN
69;IEMEN DO SUL
70;ILHAS COMORES
71;ILHAS SALOMAO
72;REPUBLICA CENTRO-AFRICANA
73;INDIA
74;INDONESIA
75;IRA
76;IRAQUE
77;IRLANDA
78;ISLANDIA
79;ISRAEL
80;ITALIA
81;IUGOSLAVIA
82;JAMAICA
83;JAPAO
84;JORDANIA
85;KAWEIT
86;LAOS
87;LESOTO
88;LIBANO
89;LIBERIA
90;LIECHTENSTEIN
91;LUXEMBURGO
92;MADAGASCAR
93;MALASIA
94;MALAVI
95;MALDIVAS
96;MALI
97;MALTA
98;MARROCOS
99;ILHAS MAURICIO
100;MAURITANIA
101;MEXICO
102;MOCAMBIQUE
103;MONACO
104;MONGOLIA
105;NAURU
106;NEPAL
107;NICARAGUA
108;NIGER
109;NIGERIA
110;NORUEGA
111;NOVA ZELANDIA
112;OMA
113;PANAMA
114;PAPUA NOVA GUINE
115;PAQUISTAO
116;PARAGUAI
117;PERU
118;POLONIA
119;PORTUGAL
120;QATAR
121;QUENIA
122;REPUBLICA DOMINICANA
123;RODESIA
124;ROMENIA
125;RUANDA
126;SAMOA OCIDENTAL
127;SAN MARINO
128;SAO TOME E PRINCIPE
129;SENEGAL
130;SERRA LEOA
131;ILHAS SEYCHELLES
132;SIRIA
133;SOMALIA
134;SRI LANKA
135;SUAZILANDIA
136;SUDAO
137;SUECIA
138;SUICA
139;SURINAME
140;TAILANDIA
141;TANZANIA
142;REPUBLICA TCHECA
143;TOGO
144;TONGA
145;TRINIDAD E TOBAGO
146;TUNISIA
147;TURQUIA
148;UGANDA
149;EMIRADOS ARABES
150;UNIAO SOVIETICA
151;URUGUAI
152;VENEZUELA
153;VIETNA
154;LIBIA
155;ZAIRE
156;ZAMBIA
157;ESCOCIA
158;INGLATERRA
159;ANTIGUA
160;BENIN
161;BELIZE
162;DOMINICA
164;FORMOSA
165;SANTA LUCIA
166;SAO VICENTE E GRANADINAS
167;TUVALU
168;VANUATU
169;VATICANO
170;ZIMBABUE
171;IRLANDA DO NORTE
172;PAIS DE GALES
173;BRUNEI
174;BURKINA FASO
175;CATAR
176;KIRIBATI
177;ANGUILLA
178;SAO CRISTOVAO E NEVES
179;ANTARTICA
180;ARUBA
181;ANTILHAS HOLANDESAS
182;BERMUDAS
183;CEUTA E MELILLA
184;GIBRALTAR
185;GROENLANDIA
186;GUADALUPE
187;GUAN
188;GUIANA FRANCESA
189;HONG KONG
190;ILHA JONHSTON
191;ILHA NORFOLK
192;ILHA DE MAN
193;ILHA DE PITCAIRN
194;ILHA WAKE
195;ILHAS DO CANAL
196;ILHAS CAYMAN
197;ILHAS CHRISTMAS
198;ILHAS COCO (KEELING)
199;ILHAS COOR
200;PORTO RICO
201;RUSSIA
202;CROACIA
203;ESTONIA
204;REPUBLICA DA ESLOVAQUIA
